Forkortelse,Produkt,MBL [tonn],Massetetthet [kg/m],E-modul [N/m^2]
32 GS-3,32 mm Gold Safety 3-slått,19.999999999999996,0.46,2000000000.0
40 GS-3,40 mm Gold Safety 3-slått,31.399999999999995,0.72,2000000000.0
42 GS-3,42 mm Gold Safety 3-slått,35.199999999999996,0.8,2000000000.0
44 GS-3,44 mm Gold Safety 3-slått,37.89999999999999,0.88,2000000000.0
48 GS-3,48 mm Gold Safety 3-slått,45.1,1.04,2000000000.0
52 GS-3,52 mm Gold Safety 3-slått,53.0,1.22,2000000000.0
56 GS-3,56 mm Gold Safety 3-slått,61.4,1.42,2000000000.0
60 GS-3,60 mm Gold Safety 3-slått,70.60000000000001,1.63,2000000000.0
64 GS-3,64 mm Gold Safety 3-slått,80.3,1.85,2000000000.0
68 GS-3,68 mm Gold Safety 3-slått,90.7,2.1,2000000000.0
72 GS-3,72 mm Gold Safety 3-slått,101.6,2.34,2000000000.0
80 GS-3,80 mm Gold Safety 3-slått,125.59999999999998,2.9,2000000000.0
10 Nyl-3,10 mm Nylon 3-slått,2.13120688512387,0.062,500000000.0
100 Nyl-3,100 mm Nylon 3-slått,170.0580728383291,6.16,500000000.0
11 Nyl-3,11 mm Nylon 3-slått,2.600276343093717,0.075,500000000.0
12 Nyl-3,12 mm Nylon 3-slått,3.038754314674226,0.08900000000000001,500000000.0
13 Nyl-3,13 mm Nylon 3-slått,3.5690067454227488,0.105,500000000.0
14 Nyl-3,14 mm Nylon 3-slått,4.180836473209506,0.122,500000000.0
16 Nyl-3,16 mm Nylon 3-slått,5.384101604523462,0.158,500000000.0
18 Nyl-3,18 mm Nylon 3-slått,6.883084437601016,0.2,500000000.0
19 Nyl-3,19 mm Nylon 3-slått,7.658068759464242,0.221,500000000.0
20 Nyl-3,20 mm Nylon 3-slått,8.453447405587026,0.245,500000000.0
22 Nyl-3,22 mm Nylon 3-slått,10.401105372374868,0.3,500000000.0
24 Nyl-3,24 mm Nylon 3-slått,12.307974690643594,0.355,500000000.0
25 Nyl-3,25 mm Nylon 3-slått,13.409268200659756,0.38799999999999996,500000000.0
26 Nyl-3,26 mm Nylon 3-slått,14.50036454854614,0.42,500000000.0
28 Nyl-3,28 mm Nylon 3-slått,16.21348778634906,0.485,500000000.0
30 Nyl-3,30 mm Nylon 3-slått,18.30390602295381,0.555,500000000.0
32 Nyl-3,32 mm Nylon 3-slått,20.59826750215415,0.63,500000000.0
34 Nyl-3,34 mm Nylon 3-slått,23.19854384524787,0.7140000000000001,500000000.0
36 Nyl-3,36 mm Nylon 3-slått,25.707045729173572,0.8,500000000.0
38 Nyl-3,38 mm Nylon 3-slått,28.205350450969497,0.893,500000000.0
4 Nyl-3,4 mm Nylon 3-slått,0.35995982318120867,0.0105,500000000.0
40 Nyl-3,40 mm Nylon 3-slått,31.0095700366588,0.99,500000000.0
42 Nyl-3,42 mm Nylon 3-slått,33.813789622348104,1.09,500000000.0
44 Nyl-3,44 mm Nylon 3-slått,37.0156985310988,1.2,500000000.0
45 Nyl-3,45 mm Nylon 3-slått,37.811077177221584,1.248,500000000.0
48 Nyl-3,48 mm Nylon 3-slått,43.01162986340901,1.42,500000000.0
5 Nyl-3,5 mm Nylon 3-slått,0.5710410792676398,0.015600000000000001,500000000.0
50 Nyl-3,50 mm Nylon 3-slått,46.3155103934575,1.535,500000000.0
52 Nyl-3,52 mm Nylon 3-slått,50.01708024656738,1.66,500000000.0
55 Nyl-3,55 mm Nylon 3-slått,55.01368969015923,1.8619999999999999,500000000.0
56 Nyl-3,56 mm Nylon 3-slått,57.02253062972575,1.93,500000000.0
6 Nyl-3,6 mm Nylon 3-slått,0.7607082948815345,0.0225,500000000.0
60 Nyl-3,60 mm Nylon 3-slått,64.51744479511352,2.21,500000000.0
64 Nyl-3,64 mm Nylon 3-slått,73.02187801134944,2.52,500000000.0
65 Nyl-3,65 mm Nylon 3-slått,75.02052178878618,2.6,500000000.0
7 Nyl-3,7 mm Nylon 3-slått,1.0503076993672662,0.031,500000000.0
70 Nyl-3,70 mm Nylon 3-slått,86.02325972681803,3.02,500000000.0
72 Nyl-3,72 mm Nylon 3-slått,91.03006633253966,3.19,500000000.0
75 Nyl-3,75 mm Nylon 3-slått,98.72892374052302,3.46,500000000.0
8 Nyl-3,8 mm Nylon 3-slått,1.3919126307148721,0.04,500000000.0
80 Nyl-3,80 mm Nylon 3-slått,111.5365593755258,3.94,500000000.0
85 Nyl-3,85 mm Nylon 3-slått,126.03692392407194,4.45,500000000.0
88 Nyl-3,88 mm Nylon 3-slått,135.04101808466703,4.77,500000000.0
9 Nyl-3,9 mm Nylon 3-slått,1.7539118863220367,0.05,500000000.0
90 Nyl-3,90 mm Nylon 3-slått,139.0485028016703,4.99,500000000.0
95 Nyl-3,95 mm Nylon 3-slått,154.04852829457562,5.56,500000000.0
96 Nyl-3,96 mm Nylon 3-slått,158.05601301157887,5.68,500000000.0
10 Sdan-3,10 mm Superdan 3-slått,1.8048976969709332,0.045,2000000000.0
100 Sdan-3,100 mm Superdan 3-slått,148.949947229686,4.523,2000000000.0
12 Sdan-3,12 mm Superdan 3-slått,2.70224796439151,0.066,2000000000.0
14 Sdan-3,14 mm Superdan 3-slått,3.5995982318120867,0.091,2000000000.0
16 Sdan-3,16 mm Superdan 3-slått,4.496948499232664,0.11599999999999999,2000000000.0
18 Sdan-3,18 mm Superdan 3-slått,5.802185251844412,0.149,2000000000.0
20 Sdan-3,20 mm Superdan 3-slått,6.903478761860574,0.179,2000000000.0
22 Sdan-3,22 mm Superdan 3-slått,8.40246159493813,0.22,2000000000.0
24 Sdan-3,24 mm Superdan 3-slått,9.901444428015683,0.26,2000000000.0
26 Sdan-3,26 mm Superdan 3-slått,11.50239888239103,0.306,2000000000.0
28 Sdan-3,28 mm Superdan 3-slått,13.205324958064171,0.355,2000000000.0
30 Sdan-3,30 mm Superdan 3-slått,15.010222655035104,0.41100000000000003,2000000000.0
32 Sdan-3,32 mm Superdan 3-slått,16.80492318987626,0.46,2000000000.0
36 Sdan-3,36 mm Superdan 3-slått,20.60846466428393,0.58,2000000000.0
40 Sdan-3,40 mm Superdan 3-slått,25.707045729173572,0.715,2000000000.0
44 Sdan-3,44 mm Superdan 3-slått,31.815145844911363,0.885,2000000000.0
48 Sdan-3,48 mm Superdan 3-slått,36.60781204590762,1.04,2000000000.0
52 Sdan-3,52 mm Superdan 3-slått,42.114279595988435,1.22,2000000000.0
56 Sdan-3,56 mm Superdan 3-slått,48.711843493955634,1.42,2000000000.0
6 Sdan-3,6 mm Superdan 3-slått,0.683209862695212,0.0175,2000000000.0
60 Sdan-3,60 mm Superdan 3-slått,55.31960455405261,1.63,2000000000.0
64 Sdan-3,64 mm Superdan 3-slått,62.518801017676786,1.85,2000000000.0
70 Sdan-3,70 mm Superdan 3-slått,74.32711476396119,2.21,2000000000.0
72 Sdan-3,72 mm Superdan 3-slått,77.92671299577329,2.34,2000000000.0
8 Sdan-3,8 mm Superdan 3-slått,1.2032651313139553,0.03,2000000000.0
80 Sdan-3,80 mm Superdan 3-slått,96.03687293826128,2.9,2000000000.0
88 Sdan-3,88 mm Superdan 3-slått,116.23745111735404,3.51,2000000000.0
9 Sdan-3,9 mm Superdan 3-slått,1.4989828330775545,0.038,2000000000.0
96 Sdan-3,96 mm Superdan 3-slått,137.24360510469936,4.17,2000000000.0
10 STec-3,10 mm SuperTec 3-slått,2.192389857902546,0.045,2000000000.0
100 STec-3,100 mm SuperTec 3-slått,171.85277337317027,4.523,2000000000.0
12 STec-3,12 mm SuperTec 3-slått,3.2019089087506947,0.066,2000000000.0
14 STec-3,14 mm SuperTec 3-slått,4.252216608117961,0.091,2000000000.0
16 STec-3,16 mm SuperTec 3-slått,5.40449592878302,0.11599999999999999,2000000000.0
18 STec-3,18 mm SuperTec 3-slått,6.903478761860574,0.149,2000000000.0
20 STec-3,20 mm SuperTec 3-slått,8.198518352342543,0.179,2000000000.0
